Namesake,Original,Namesake Coordinates,Original Coordinates
"Liminga, Michigan","Liminka, Finland","(47.1560375, -88.6981795)","(64.8106448, 25.4084842)"
"Oulu, Wisconsin","Oulu, Finland","(46.6329947, -91.5318543)","(65.0118734, 25.4716809)"
"Paavola, Michigan","Paavola, Finland","(47.1502046, -88.5442885)","(64.6063404, 25.2042701)"
"Pori, Michigan","Pori, Finland","(46.679661, -88.9601382)","(61.4865542, 21.7968951)"
"Salo Township, Minnesota","Salo, Finland","(46.54978515, -93.11563999681246)","(60.3846716, 23.1286377)"
"Tapiola, Michigan","Tapiola, Finland","(46.9246525, -88.6265181)","(60.17664, 24.8031685)"
"Toivola, Michigan","Toijala, Finland","(46.9990964, -88.7701302)","(61.1706738, 23.8608554)"
"Toivola Township, Minnesota","Toijala, Finland",,"(61.1706738, 23.8608554)"
"Wasas, Michigan","Vaasa, Finland","(46.7210494, -89.0104161)","(63.0957722, 21.6159187)"
"Abbeville, Louisiana","Abbeville, France","(29.9746502, -92.1342921)","(50.1060835, 1.8337029)"
"Aix, Indiana","Aix-en-Provence, France","(41.0414261, -87.1514139)","(43.5298424, 5.4474738)"
"Avalon, Missouri","Avallon, France","(39.6591871, -93.4416002)","(47.4885365, 3.9070658)"
"Bayonne, Nebraska","Bayonne, France","(42.7855546, -101.9776601)","(43.4945144, -1.4736657)"
"Bayonne, New Jersey","Bayonne, France","(40.6687141, -74.1143091)","(43.4945144, -1.4736657)"
"Beaufort, South Carolina","Beaufort-en-Anjou, France","(32.3850708, -80.6923169)","(47.4399992, -0.2162487)"
"Belfort, Ohio","Belfort, France","(40.8122811, -81.2453851)","(47.6379599, 6.8628942)"
"Bethune, Colorado","Bethune, France","(39.3041624, -102.424639)","(50.5292608, 2.6402097)"
"Bardo, Kentucky","Bordeaux, France","(36.7598092, -83.3443501)","(44.841225, -0.5800364)"
"Bordeaux, South Carolina","Bordeaux, France","(34.894780749999995, -81.96862789624511)","(44.841225, -0.5800364)"
"Boulogne, Florida","Boulogne-sur-Mer, France","(30.7718163, -81.975825)","(50.7259985, 1.6118771)"
"Calais, Maine","Calais, France","(45.1889661, -67.2780626)","(50.9524769, 1.8538446)"
"LaGrange, Georgia","Château de la Grange-Bléneau, France","(33.039291, -85.0313269)","(48.66169375, 2.9489913914818446)"
"Chateaugay, New York","Châteaugay, France","(44.926648, -74.079781)","(45.8502246, 3.0850695)"
"Chantilly, Missouri","Chantilly, Oise, France","(37.8499203, -94.39263699799858)","(49.1931736, 2.4636686)"
"Cherbourg, North Carolina","Cherbourg, France","(35.1368286, -79.0116954)","(49.6425343, -1.6249565)"
"Clermont, Florida","Clermont-Ferrand, France","(28.5494447, -81.7728543)","(45.7774551, 3.0819427)"
"Colmar, Illinois","Colmar, France","(40.3453214, -90.8912451)","(48.0777517, 7.3579641)"
"Dunkirk, New York","Dunkirk, France","(42.479502, -79.333932)","(51.0347708, 2.3772525)"
"Exermont, Illinois","Exermont, France","(38.6478274, -90.0464946)","(49.2943703, 5.0062779)"
"Ferney, South Dakota","Ferney-Voltaire, France","(45.3305156, -98.0978733)","(46.2567057, 6.1096409)"
"Grenoble, Pennsylvania","Grenoble, France","(40.2395525, -75.0379471)","(45.1875602, 5.7357819)"
"Guyencourt, Delaware","Guyencourt, France","(39.8137229, -75.5863157)","(49.3572, 3.83788)"
"New Rochelle, New York","La Rochelle, France","(40.9115386, -73.7826363)","(46.1591126, -1.1520434)"
"Havre de Grace, Maryland","Le Havre, France","(39.5491329, -76.095817)","(49.4938975, 0.1079732)"
"Lisle, New York","Lille, France","(42.3511727, -76.0032134)","(50.6365654, 3.0635282)"
