Namesake,Original,Namesake Coordinates,Original Coordinates
"Manchester, Missouri","Manchester, United Kingdom","(38.5925305, -90.5107453)","(53.4794892, -2.2451148)"
"Manchester, New Hampshire","Manchester, United Kingdom","(42.9956397, -71.4547891)","(53.4794892, -2.2451148)"
"Mansfield Township, New Jersey","Mansfield, Nottinghamshire, United Kingdom","(40.0912221, -74.7137709)","(53.1443785, -1.1964165)"
"Margate City, New Jersey","Margate, Kent, United Kingdom","(39.327894, -74.5034858)","(51.3878174, 1.3819699)"
"Marlborough, Massachusetts","Marlborough, Wiltshire, United Kingdom","(42.3459271, -71.5522874)","(51.420633, -1.7251743451994652)"
"Marlow, New Hampshire","Marlow, Buckinghamshire, United Kingdom","(43.1160964, -72.1975217)","(51.5718668, -0.77695)"
"Matfield Green, Kansas","Matfield, Kent, United Kingdom","(38.159025850000006, -96.56206451953526)","(51.151695, 0.3693525)"
"Matlock, Iowa","Matlock, Derbyshire, United Kingdom","(43.2433363, -95.9351617)","(53.1374514, -1.5544694)"
"Mendon, Massachusetts","Mendham, Suffolk, United Kingdom","(42.1075708, -71.5535197)","(52.3976685, 1.337629)"
"Meriden, Connecticut","Meriden, West Midlands, United Kingdom","(41.5381535, -72.8070435)","(52.4373156, -1.647117)"
"Middlesboro, Kentucky","Middlesbrough, North Yorkshire, United Kingdom","(36.6084155, -83.7165824)","(54.5189596, -0.6927466)"
"West Middlesex, Pennsylvania","Middlesex, London, United Kingdom","(41.174224, -80.453402)","(51.525642500000004, -0.4625270742553078)"
"Milford, Connecticut","Milford, United Kingdom","(41.2222218, -73.0570603)","(54.3334328, -6.6820317)"
"Madbury, New Hampshire","Modbury, Devon, United Kingdom","(43.16963, -70.924301)","(50.351774649999996, -3.8748478253622207)"
"Needham, Massachusetts","Needham Market, Suffolk, United Kingdom","(42.2802645, -71.2360624)","(52.1528468, 1.0528347)"
"Winchendon, Massachusetts","Nether Winchendon, Buckinghamshire, United Kingdom","(42.6815126, -72.0499767)","(51.80643435, -0.9472126762711865)"
"Newark, New Jersey","Newark-on-Trent, Nottinghamshire, United Kingdom","(40.735657, -74.1723667)","(53.0761693, -0.8092339)"
"Newbury, Massachusetts","Newbury, Berkshire, United Kingdom","(42.7664975, -70.8458022)","(51.4020243, -1.3242212)"
"Newcastle, Texas","Newcastle upon Tyne, Tyne and Wear, United Kingdom","(33.192915, -98.7375358)",
"New Castle, Pennsylvania","Newcastle upon Tyne, Tyne and Wear, United Kingdom","(40.9999202, -80.3471856)",
"Newmarket, New Hampshire","Newmarket, Suffolk, United Kingdom","(43.082931, -70.935974)","(52.2443103, 0.4065503)"
"Newstead, New York","Newstead Abbey, Nottinghamshire, United Kingdom","(43.0195727, -78.5223111)","(53.07840675, -1.1924365310785197)"
"Northampton, Massachusetts","Northampton, Northamptonshire, United Kingdom","(42.3178989, -72.6311006)","(52.2378853, -0.8963639)"
"Norton, Massachusetts","Norton, Oxfordshire, United Kingdom","(41.9667666, -71.1869939)","(51.7511351, -1.5793780079234687)"
"Norwich, Connecticut","Norwich, Norfolk, United Kingdom","(41.5243537, -72.0759008)","(52.6285576, 1.2923954)"
"Nottingham, New Jersey","Nottingham, Nottinghamshire, United Kingdom","(40.2326092, -74.6818253)","(52.9534193, -1.1496461)"
"Oakham, Massachusetts","Oakham, Rutland, United Kingdom","(42.3548509, -72.0434661)","(52.66666035, -0.7499676404569892)"
"Oldham, South Dakota","Oldham, Greater Manchester, United Kingdom","(44.227471, -97.307846)","(53.5415797, -2.1147831)"
"Olney, Maryland","Olney, Buckinghamshire, United Kingdom","(39.1532123, -77.0668408)",
"Oxford, Mississippi","Oxford, Oxfordshire, United Kingdom","(34.3663773, -89.5187664)","(51.7520131, -1.2578499)"
"Oxford, Ohio","Oxford, Oxfordshire, United Kingdom","(39.5103048, -84.7420519)","(51.7520131, -1.2578499)"
"Penn, North Dakota","Penn, Buckinghamshire, United Kingdom","(48.2216668, -99.0890209)","(51.6347857, -0.6655724656040267)"
"Petersham, Massachusetts","Petersham, London, United Kingdom","(42.4883684, -72.1865591)","(51.4436913, -0.3052934)"
"Plaistow, New Hampshire","Plaistow, United Kingdom","(42.8364781, -71.0947805)","(51.5311544, 0.0166833)"
"Plymouth, Massachusetts","Plymouth, Devon, United Kingdom","(41.9426657, -70.7618592)","(50.333954399999996, -4.15583846220016)"
"Plymouth, Indiana","Plymouth, Devon, United Kingdom","(41.3436555, -86.3097278)","(50.333954399999996, -4.15583846220016)"
"Pomfret, Connecticut","Pontefract, West Yorkshire, United Kingdom","(41.8975977, -71.9625736)","(53.6917422, -1.3105722)"
"Portsmouth, Virginia","Portsmouth, Hampshire, United Kingdom","(36.8320081, -76.297699)","(50.8221133, -1.0677602492961795)"
"Preston, Connecticut","Preston, Lancashire, United Kingdom","(41.5268022, -71.982138)","(53.7593363, -2.6992717)"
"Raynham, Massachusetts","Raynham, Norfolk, United Kingdom","(41.9487118, -71.0731008)","(52.792330899999996, 0.7836346771266094)"
"Reading, Pennsylvania","Reading, Berkshire, United Kingdom","(40.335345, -75.9279495)","(51.45200635, -0.9684735493619272)"
"Ryegate, Vermont","Reigate, Surrey, United Kingdom","(44.2169575, -72.11289223161562)","(51.2376557, -0.2057067)"
"Reydon, Oklahoma","Reydon, Suffolk, United Kingdom","(35.6536584, -99.9190017)","(52.3383192, 1.6687647)"
"Richmond, Virginia","Richmond, London, United Kingdom","(37.5385087, -77.43428)","(51.4405529, -0.3076394377337949)"
"Ridley Park, Pennsylvania","Ridley, Cheshire, United Kingdom","(39.8812236, -75.3237993)","(53.0883525, -2.6651269)"
"Ripon, Wisconsin","Ripon, North Yorkshire, United Kingdom","(43.8424502, -88.8372972)","(54.1362169, -1.5238006)"
"Rochdale Village, Queens New York","Rochdale, Greater Manchester, United Kingdom","(40.6763889, -73.7738889)","(53.6153659, -2.1557561)"
"Rochester, Massachusetts","Rochester, Kent, United Kingdom","(41.7317701, -70.8200371)","(51.3883811, 0.504925)"
"Rowley, Massachusetts","Rowley, East Riding of Yorkshire, United Kingdom","(42.7136977, -70.8818364)","(53.7809604, -0.5197019)"
"Tunbridge, North Dakota","Royal Tunbridge Wells, Kent, United Kingdom","(48.3658319, -100.1062461)","(51.1371483, 0.2673446)"
"Rugby, North Dakota","Rugby, Warwickshire, United Kingdom","(48.368888, -99.996246)","(52.3726682, -1.2620038)"
"Runnymede, Kansas","Runnymede, Surrey, United Kingdom","(37.3564078, -97.9297798)","(51.3948374, -0.5519609464752796)"
"Ryde, California","Ryde, Isle of Wight, United Kingdom","(38.2385259, -121.5605093)","(50.7299865, -1.1603699)"
"Rye, New Hampshire","Rye, East Sussex, United Kingdom","(43.0120186, -70.7719426)","(50.9511871, 0.7327667)"
"St. Albans, Vermont","St Albans, Hertfordshire, United Kingdom","(44.80452715, -73.168578465099)","(51.753051, -0.3379675)"
"Salisbury, Maryland","Salisbury, Wiltshire, United Kingdom","(38.366027, -75.6009964)","(51.0690613, -1.7954134)"
"Sandown, New Hampshire","Sandown, Isle of Wight, United Kingdom","(42.928698, -71.1870053)","(50.6530593, -1.1536287)"
"Sandwich, Massachusetts","Sandwich, Kent, United Kingdom","(41.7579043, -70.4968152)","(51.2752527, 1.3408309)"
"Scarborough, Maine","Scarborough, North Yorkshire, United Kingdom","(43.5909038, -70.3395776)","(54.2820009, -0.4011868)"
"Shadwell, Virginia","Shadwell, Greater London, United Kingdom","(38.0129175, -78.3955647)","(51.51125, -0.0569241)"
"Sheffield, Massachusetts","Sheffield, South Yorkshire, United Kingdom","(42.110474, -73.3533365)","(53.3806626, -1.4702278)"
"Shrewsbury, Massachusetts","Shrewsbury, Shropshire, United Kingdom","(42.2960187, -71.71351)","(52.707755, -2.7540658)"
"Skelton, West Virginia","Skelton, United Kingdom","(37.8106696, -81.187323)","(54.74924525, -2.8933187257267443)"
"Smithfield, Rhode Island","Smithfield, London, United Kingdom","(41.9220433, -71.549507)","(51.518242799999996, -0.10259010333356419)"
"Somerset County, Pennsylvania","Somerset, United Kingdom","(39.9980022, -79.0415528)","(51.161750850000004, -3.0753867062227487)"
"Sotterley (Hollywood, Maryland)","Sotterley, Suffolk, United Kingdom","(38.346368, -76.570163)","(52.4058667, 1.6051395)"
"Southampton, New York","Southampton, Hampshire, United Kingdom","(40.884267, -72.3895296)","(50.9354752, -1.3962847494297244)"
"Norwood, Massachusetts","South Norwood, Greater London, United Kingdom","(42.194543, -71.1994976)","(51.3980951, -0.0768216)"
"Southwark, Philadelphia, Pennsylvania","Southwark, London, United Kingdom","(39.9404505, -75.1492578)","(51.46525455, -0.06901863321466493)"
"Springfield, Massachusetts","Springfield, Essex, United Kingdom","(42.1018764, -72.5886727)","(51.7510122, 0.4969225)"
"Stamford, Connecticut","Stamford, Lincolnshire, United Kingdom","(41.0534302, -73.5387341)","(52.6519973, -0.4804579)"
"Staplehurst, Nebraska","Staplehurst, Kent, United Kingdom","(40.97501, -97.172538)","(51.1636637, 0.556213859343256)"
"Stockbridge, Massachusetts","Stockbridge, Hampshire, United Kingdom","(42.282398, -73.3123684)","(51.1140854, -1.4929702)"
"Stockport, Ohio","Stockport, Greater Manchester, United Kingdom","(39.5484057, -81.7929122)","(53.407901, -2.160243)"
"Stockton Springs, Maine","Stockton-on-Tees, County Durham, United Kingdom","(44.4895196, -68.8569762)",
"Sturbridge, Massachusetts","Stourbridge, West Midlands, United Kingdom","(42.1082005, -72.0810584)","(52.4577615, -2.1474345)"
"Stow, Massachusetts","Stow, United Kingdom","(42.4365949, -71.5050009)","(55.6928223, -2.8627517)"
"Stratford, Connecticut","Stratford-upon-Avon, Warwickshire, United Kingdom","(41.1845415, -73.1331651)","(52.1927803, -1.70634)"
"Sudbury, Massachusetts","Sudbury, Suffolk, United Kingdom","(42.3834278, -71.4161725)","(52.0401524, 0.7299495)"
"Sunbury, Pennsylvania","Sunbury-on-Thames, United Kingdom","(40.8619754, -76.7936252)","(51.4077066, -0.4118589)"
"Scarsdale, New York","Sutton Scarsdale, Derbyshire, United Kingdom","(40.9880495, -73.7974133)","(53.2138844, -1.3373712)"
"Taunton, Massachusetts","Taunton, Somerset, United Kingdom","(41.9019257, -71.0931485)","(51.0147895, -3.1029086)"
"Tewksbury, Massachusetts","Tewkesbury, Gloucestershire, United Kingdom","(42.6106479, -71.2342248)","(51.9925394, -2.1560169592908442)"
"Thornbury Township, Pennsylvania","Thornbury, Gloucestershire, United Kingdom","(39.92296415, -75.55717486023781)","(51.6078094, -2.5254942)"
"Tinmouth, Vermont","Teignmouth, Devon, United Kingdom","(43.4487463, -73.0503403)","(50.5463385, -3.4957798)"
"Tisbury, Massachusetts","Tisbury, Wiltshire, United Kingdom","(41.4576223, -70.6156969)","(51.06269775, -2.0643693810297052)"
"Tolland, Connecticut","Tolland, Somerset, United Kingdom","(41.818446, -72.3562252)","(51.081399, -3.283174)"
"Topsfield, Massachusetts","Toppesfield, Essex, United Kingdom","(42.6390841, -70.9507469)","(51.995462950000004, 0.5203412782854977)"
"Topsham, Maine","Topsham, Devon, United Kingdom","(43.9248035, -69.9635662)","(50.6850732, -3.4658063)"
"Trafford, Pennsylvania","Trafford, Greater Manchester, United Kingdom","(40.3821421, -79.7615695)","(53.41893605, -2.359297161165271)"
"Truro, Massachusetts","Truro, Cornwall, United Kingdom","(41.993437, -70.0497457)","(50.2633173, -5.0518107)"
"Turton, South Dakota","Turton, Lancashire, United Kingdom","(45.049688, -98.095646)","(53.7277315, -2.2870206)"
"Ventnor City, New Jersey","Ventnor, Isle of Wight, United Kingdom","(39.3405045, -74.4773916)","(50.594976, -1.2029747)"
"Wakefield, New Hampshire","Wakefield, West Yorkshire, United Kingdom","(43.5685871, -71.0297823)","(53.6829541, -1.4967286)"
"Wallingford, Pennsylvania","Wallingford, Oxfordshire, United Kingdom","(39.8909454, -75.3629687)","(51.5982905, -1.1252511)"
"Wantage Township, New Jersey","Wantage, Oxfordshire, United Kingdom","(41.2442617, -74.5507156)","(51.5878072, -1.4249258)"
"Wareham, Massachusetts","Wareham, Dorset, United Kingdom","(41.7626037, -70.7217017)","(50.6868972, -2.1098377)"
"Warminster, Pennsylvania","Warminster, Wiltshire, United Kingdom","(40.2067751, -75.0996159)","(51.215076550000006, -2.1721664384278974)"
"Warwick, Pennsylvania","Warwick, Warwickshire, United Kingdom","(40.1650973, -75.7838155)","(52.2814519, -1.5815742)"
"Willingboro Township, New Jersey","Wellingborough, Northamptonshire, United Kingdom","(40.0289423, -74.8808221)","(52.30189, -0.6937309)"
"Wells, Maine","Wells, Somerset, United Kingdom","(43.322181, -70.580978)","(51.2094511, -2.6451203)"
"Wenham, Massachusetts","Wenham Magna, Suffolk, United Kingdom","(42.6046209, -70.8873511)","(52.0056066, 1.0142456)"
"Westminster, California","Westminster, Greater London, United Kingdom","(33.7578725, -117.9859054)","(51.5004439, -0.1265398)"
"Weymouth, Massachusetts","Weymouth, Dorset, United Kingdom","(42.2212188, -70.9391625)","(50.6096257, -2.4543424)"
"Wickford, Rhode Island","Wickford, Essex, United Kingdom","(41.5739753, -71.4614464)","(51.6113905, 0.5244419)"
"Williba, Kentucky","Willoughby, Lincolnshire, United Kingdom","(37.6231427, -83.5690762)","(53.2248282, 0.1949633)"
"New Wilmington, Pennsylvania","Wilmington, Kent, United Kingdom","(41.1222812, -80.3328428)","(51.4217683, 0.18742516959939298)"
"Wilmington, North Carolina","Wilmington, Kent, United Kingdom","(34.2257282, -77.9447107)","(51.4217683, 0.18742516959939298)"
"Wilton, New Hampshire","Wilton, Wiltshire, United Kingdom","(42.843419, -71.7350741)","(51.0805315, -1.8607051)"
"Wimbledon, North Dakota","Wimbledon, London, United Kingdom","(47.1696939, -98.4598727)","(51.4220721, -0.2052902)"
"Winchester, Virginia","Winchester, Hampshire, United Kingdom","(39.1852184, -78.1652404)","(51.0612766, -1.3131692)"
"Windsor, Maine","Windsor, Berkshire, United Kingdom","(44.3106264, -69.580599)","(51.5070563, -1.5341235559988617)"
"Woburn, Massachusetts","Woburn, Bedfordshire, United Kingdom","(42.4792618, -71.1522766)","(51.9887573, -0.6194406)"
"Woodstock, Alabama","Woodstock, Oxfordshire, United Kingdom","(33.2067835, -87.1499961)","(51.8474887, -1.3545343)"
"Woolwich, Maine","Woolwich, London, United Kingdom","(43.9169747, -69.8015014)","(51.4919328, 0.0703949)"
"Worcester, Massachusetts","Worcester, Worcestershire, United Kingdom","(42.2625621, -71.8018877)","(52.1911849, -2.2206585)"
"Wrentham, Massachusetts","Wrentham, Suffolk, United Kingdom","(42.0667652, -71.3281114)","(52.3846442, 1.6702802)"
"Wylam, Alabama","Wylam, Northumberland, United Kingdom","(33.5059398, -86.9252705)","(54.98086605, -1.8195969816010256)"
"Windham, Maine","Wymondham, Norfolk, United Kingdom","(43.7894155, -70.4083434)","(52.5764773, 1.117928)"
"York, Pennsylvania","York, North Yorkshire, United Kingdom","(39.9624662, -76.727729)","(54.37734155, -0.887986789570117)"
"Antrim, Ohio","Antrim, County Antrim, United Kingdom","(40.1203474, -81.3584466)","(54.715139, -6.2192038)"
"Armagh, Pennsylvania","Armagh, United Kingdom","(40.4536813, -79.0319742)","(54.2994832, -6.5474328)"
"Belfast, Maine","Belfast, United Kingdom","(44.4261486, -69.0067249)","(54.596391, -5.9301829)"
"Charlemont, Massachusetts","Charlemont, County Armagh, United Kingdom","(42.6275354, -72.874488)","(54.4414537, -6.6844923)"
"Colerain, North Carolina","Coleraine, United Kingdom","(36.201268, -76.7685616)","(55.1315912, -6.671861)"
"Londonderry, New Hampshire","Derry, United Kingdom","(42.8650869, -71.3739532)","(54.9978678, -7.3213056)"
"Derry, New Hampshire","Derry, United Kingdom","(42.8808677, -71.3264492)","(54.9978678, -7.3213056)"
"Derry, New Mexico","Derry, United Kingdom","(32.7881302, -107.2822451)","(54.9978678, -7.3213056)"
"Derry, Pennsylvania","Derry, United Kingdom","(40.3339589, -79.2997573)","(54.9978678, -7.3213056)"
"Dungannon, Virginia","Dungannon, United Kingdom","(36.830358, -82.4660656)","(54.5039088, -6.7703622)"
"Glenarm, Kentucky","Glenarm, County Antrim, United Kingdom","(38.353679, -85.4630147)","(54.9685998, -5.952345)"
"Lisburn, Pennsylvania","Lisburn, United Kingdom","(40.1678694, -76.9102518)","(54.5112913, -6.0466736)"
"Lurgan Township, Pennsylvania","Lurgan, United Kingdom","(40.119511, -77.6243210110145)","(54.460824, -6.3292491)"
"Newry, Maine","Newry, United Kingdom","(44.487689, -70.787659)","(54.1775283, -6.337506)"
"Rostraver Township, Pennsylvania","Rostrevor, County Down, United Kingdom","(40.177587, -79.8089955873123)","(54.100725, -6.2004264)"
"Straban Township, Pennsylvania","Strabane, United Kingdom","(39.8704501, -77.16653960232459)","(54.826115, -7.4627993)"
"Ulster Township, Pennsylvania","Ulster, United Kingdom","(41.85090305, -76.52431812222603)","(54.574243249999995, -6.948159941337819)"
"Aberdeen, Washington","Aberdeen, United Kingdom","(46.975371, -123.815722)","(57.1482429, -2.0928095)"
"Aldie, Virginia","Aldie Castle, Kinross-shire, United Kingdom","(38.9755174, -77.6413094)",
"Alloway, New York","Alloa, United Kingdom","(43.0236745, -76.9885786)","(56.1156137, -3.7922423)"
"Alloway, Maryland","Alloway, United Kingdom","(39.1409427, -76.4785723)","(55.4316876, -4.6292172)"
"Ancram, New York","Ancrum, United Kingdom","(42.0504876, -73.6362581)","(55.5135076, -2.5897291)"
"Mount Ayr, Iowa","Ayr, Ayrshire, United Kingdom","(40.7145873, -94.2381367)","(55.4628044, -4.6302502)"
"Bannockburn, Illinois","Bannockburn, United Kingdom","(42.1933581, -87.8664579)","(56.0908921, -3.9132272)"
"Bathgate, North Dakota","Bathgate, West Lothian, United Kingdom","(48.8772124, -97.4761908)","(55.9009224, -3.6414828)"
"Athol, Massachusetts","Blair Atholl, United Kingdom","(42.594001, -72.2268141)","(56.7655045, -3.8475477)"
"Bremo Bluff, Virginia","Braemore, Highlands, United Kingdom","(37.7123661, -78.2975027)",
"Caledonia, Missouri","Caledonia, the Roman Empire's name for Scotland, United Kingdom","(37.763382, -90.7729061)",
"Currie, Minnesota","Currie, United Kingdom","(44.071351, -95.666399)","(55.8964331, -3.308693)"
"Dallas, Texas","Dallas, Scotland, United Kingdom","(32.7762719, -96.7968559)","(57.5515556, -3.4688563)"
"Dunbarton, New Hampshire","Dumbarton, United Kingdom","(43.102988, -71.617126)","(55.9432443, -4.5708479)"
"Dumfries, Virginia","Dumfries, United Kingdom","(38.5676202, -77.3280382)","(55.069836, -3.6092292)"
"Dundee, Florida","Dundee, United Kingdom","(28.0225206, -81.6192432)","(56.4605938, -2.97019)"
"Dunfermline, Illinois","Dunfermline, United Kingdom","(40.4911505, -90.0317835)","(56.0713724, -3.4616183)"
"Edina, Minnesota","Edinburgh, United Kingdom","(44.8897027, -93.3501222)","(55.9533456, -3.1883749)"
"Edina, Missouri","Edinburgh, United Kingdom","(40.1675386, -92.1726821)","(55.9533456, -3.1883749)"
"Edinburg, Texas","Edinburgh, United Kingdom","(26.3013982, -98.1624501)","(55.9533456, -3.1883749)"
"Elcho, Wisconsin","Elcho Castle, United Kingdom","(45.435841, -89.183475)","(56.37464585, -3.354573010218897)"
"Ellerslie, Maryland","Elderslie, United Kingdom","(39.7206417, -78.7741855)","(55.8367907, -4.4840585)"
"Elgin, Minnesota","Elgin, Moray, United Kingdom","(44.12911325, -92.2380006414966)","(57.6487891, -3.3148459)"
"Ettrick, Virginia","Ettrick, Scottish Borders, United Kingdom","(37.244345, -77.42918950993123)","(55.4186212, -3.1620416)"
"Glamis, California","Glamis Castle, United Kingdom","(32.9966743, -115.0717487)","(56.620378, -3.001991708073273)"
"Glasgow, Kentucky","Glasgow, United Kingdom","(36.995906, -85.9124842)","(55.861155, -4.2501687)"
"Glasgow, Missouri","Glasgow, United Kingdom","(39.2255213, -92.8435384)","(55.861155, -4.2501687)"
"Glasgow, Virginia","Glasgow, United Kingdom","(37.6340238, -79.4503138)","(55.861155, -4.2501687)"
"Glencoe, Missouri","Glen Coe, United Kingdom","(38.5456936, -90.6248299)","(56.6669243, -5.0228812)"
"Glencoe, Minnesota","Glencoe, Highland, United Kingdom","(44.7691886, -94.1515671)","(56.6827647, -5.1014552)"
"Glendale, Utah","Glendale, Skye, United Kingdom","(40.7383958, -111.9341863)","(52.51361385, -1.4887746670106703)"
"Glenelg, Maryland","Glenelg, Highland, United Kingdom","(39.2644382, -76.9899134)","(57.2124802, -5.6208263)"
"Grampian, Pennsylvania","Grampian Mountains, United Kingdom","(40.9658932, -78.6130822)","(56.79, -5.0)"
"Gretna, Louisiana","Gretna Green, United Kingdom","(29.9146493, -90.0539604)","(55.0049436, -3.0627342)"
"Inverness Township, Michigan","Inverness, United Kingdom","(45.5907567, -84.54507529671042)","(57.4790124, -4.225739)"
"Kelso, Washington","Kelso, Scottish Borders, United Kingdom","(46.1421249, -122.905299)","(55.5983788, -2.4338366)"
"Kilmarnock, Virginia","Kilmarnock, United Kingdom","(37.7104146, -76.3796733)","(55.6100589, -4.4964652)"
"Kilsyth, West Virginia","Kilsyth, United Kingdom","(37.8903905, -81.1823243)","(55.9765389, -4.0559704)"
"Kilwinning, Missouri","Kilwinning, United Kingdom","(40.5269753, -92.3371294)","(55.6540048, -4.6992011)"
"Kinross Charter Township, Michigan","Kinross, United Kingdom",,"(56.2033706, -3.4214864)"
"Lanark, Illinois","Lanark, United Kingdom","(42.1020953, -89.8329726)","(55.6736271, -3.7780361)"
"Leith, North Dakota","Leith, United Kingdom","(46.3583395, -101.6365298)","(55.9725499, -3.1709492)"
"Leven Township, Minnesota","Leven, Fife, United Kingdom",,"(56.1954351, -2.99692)"
"Lithgow, New York","Linlithgow, West Lothian, United Kingdom","(41.8250934, -73.6201269)","(55.977167, -3.6006234)"
"Lochbuie, Colorado","Lochbuie, Mull, United Kingdom","(40.0111126, -104.716359)",
"Lochgelly, West Virginia","Lochgelly, Fife, United Kingdom","(38.0106666, -81.145103)","(56.1293219, -3.30984)"
"Loudoun County, Virginia","Loudoun, East Ayrshire, United Kingdom","(39.0984586, -77.6705008)","(55.61056, -4.3726477708834475)"
"Largo, Maryland","Lower Largo, United Kingdom","(38.8976121, -76.8302489)","(56.2129474, -2.9371002)"
"Melrose, Massachusetts","Melrose, Scottish Borders, United Kingdom","(42.4564323, -71.064182)","(55.5975944, -2.7199682)"
"Montrose, Minnesota","Montrose, Angus, United Kingdom","(45.0649634, -93.9110814)","(56.7114295, -2.4681544)"
"Muirkirk, Maryland","Muirkirk, East Ayrshire, United Kingdom","(39.05961, -76.8739449)","(55.5222075, -4.0672721)"
"Newburgh (city), New York","Newburgh, Fife, United Kingdom","(41.5034271, -74.0104179)","(56.3510044, -3.237601)"
"Paisley, Oregon","Paisley, Renfrewshire, United Kingdom","(42.6937803, -120.5460719)","(55.8455828, -4.4239646)"
"Perth, New York","Perth, United Kingdom","(43.0175246, -74.193982)","(56.3958186, -3.4286805)"
"Rothsay, Minnesota","Rothesay, Bute, United Kingdom","(46.4739548, -96.2808631)","(55.8373085, -5.0522439)"
"Ruther Glen, Virginia","Rutherglen, United Kingdom","(37.9287494, -77.4558151)","(55.8283888, -4.2116533)"
"Skibo, Minnesota","Skibo Castle, Sutherland, United Kingdom","(47.485479, -91.9943374)",
"Mount Sterling, Kentucky","Stirling, United Kingdom","(38.0561079, -83.9431961)","(56.1181242, -3.9360012)"
"Tantallon, Maryland","Tantallon Castle, East Lothian, United Kingdom","(38.7240041, -77.0096977)","(56.056517299999996, -2.650174457628973)"
"Largo, Maryland","Upper Largo, United Kingdom","(38.8976121, -76.8302489)","(56.2204593, -2.9286086)"
"Wanlock, Illinois","Wanlockhead, United Kingdom","(41.2195663, -90.6249224)","(55.3974666, -3.779775)"
"Bala Cynwyd, Pennsylvania","Bala, United Kingdom","(40.0076125, -75.2340695)","(52.9112205, -3.59947)"
"Bangor, New York","Bangor, United Kingdom","(44.812288, -74.397697)","(53.2277163, -4.1268822)"
"Beacon, Iowa","Brecon, United Kingdom","(41.2764832, -92.6815167)","(51.9472048, -3.391696)"
"Arvon Township, Michigan","Caernarfon, United Kingdom","(46.86609045, -88.14134915968239)","(53.1394364, -4.2769751)"
"Caernarvon Township, Pennsylvania","Caernarfon, United Kingdom","(40.16562035, -75.8514376872642)","(53.1394364, -4.2769751)"
"Cardiff, Maryland","Cardiff, United Kingdom","(39.7173269, -76.3377371)","(51.4816546, -3.1791934)"
"Bala Cynwyd, Pennsylvania","Cynwyd, United Kingdom","(40.0076125, -75.2340695)","(52.9573673, -3.4047579)"
Upper Gwynedd Township,"Gwynedd, United Kingdom","(40.2142419, -75.30415601106138)","(52.9089585, -3.8335244282124785)"
"Haverford, Pennsylvania","Haverfordwest, United Kingdom","(40.0131672, -75.2943516)","(51.8021275, -4.9684249)"
"Hawarden, Iowa","Hawarden Castle, United Kingdom","(42.9956607, -96.485317)","(53.1808329, -3.0197357)"
"Lampeter, Pennsylvania","Lampeter, United Kingdom","(39.9900992, -76.2396797)","(52.1130523, -4.078761)"
"Landore, Idaho","Landore, United Kingdom","(45.1228617, -116.6303494)","(51.6427507, -3.9369218)"
"Landover, Maryland","Llandovery, United Kingdom","(38.9340002, -76.8966397)","(51.9954586, -3.7977071)"
"Milford, Pennsylvania","Milford Haven, United Kingdom","(41.322316, -74.8023882)","(51.7117492, -5.0293161)"
"Nantmeal Village, Pennsylvania","Nantmel, United Kingdom","(40.1414888, -75.7043685)","(52.285612, -3.4186631)"
"Narberth, Pennsylvania","Narberth, United Kingdom","(40.0084456, -75.26046)","(51.805779, -4.741375764999996)"
"Radnor, Pennsylvania","New Radnor, United Kingdom","(40.0463001, -75.3595487)","(52.2407038, -3.1520621)"
"Pembroke, Massachusetts","Pembroke, United Kingdom","(42.0714907, -70.8092074)","(51.6754422, -4.9144858)"
"Penryn, California","Penrhyn Quarry, United Kingdom","(38.8521217, -121.1693926)","(53.162913700000004, -4.063798923159588)"
"Swansea, Massachusetts","Swansea, United Kingdom","(41.7481575, -71.1897684)","(51.6195955, -3.9459248)"
"Wales, Utah","Wales, United Kingdom","(39.4869056, -111.635196)","(52.2928116, -3.73893)"
"Montevideo, Minnesota","Montevideo, Uruguay","(44.942523, -95.723559)","(-34.9058916, -56.1913095)"
"Samarcand, North Carolina","Samarkand, Uzbekistan","(35.2995894, -79.6844805)","(39.6550017, 66.9756954)"
"Aleppo, Pennsylvania","Aleppo, Ancient world","(39.8239684, -80.4461845)",
"Antioch, California","Antioch, Ancient world","(38.0049214, -121.805789)",
"Arbela, Missouri","Arbela, Ancient world","(40.4625355, -92.0168425)",
"Argos, Indiana","Argos, Ancient world","(41.2373004, -86.2452173)",
"Ascalon, Georgia","Ashkelon, Ancient world","(34.8395222, -85.4246829)",
"Babylon, New York","Babylon, Ancient world","(40.6956552, -73.3256753)",
"Berea, Kentucky","Berea, Ancient world","(37.568694, -84.2963224)",
"Bethany, Missouri","Bethany, Ancient world","(40.2683344, -94.0282861)",
"Bethany, Oregon","Bethany, Ancient world","(45.5620162, -122.8458649)",
"Bethlehem, Pennsylvania","Bethlehem, Ancient world","(40.6178915, -75.3786521)",
"Bethpage, New York","Bethphage, Ancient world","(40.749517, -73.485536)",
"Bozrah, Connecticut","Bozrah, Ancient world","(41.5505962, -72.168238)",
"Carthage, Missouri","Carthage, Ancient world","(37.1765141, -94.3103412)",
"Carthage, Tennessee","Carthage, Ancient world","(36.2522766, -85.951654)",
"Carthage, Indiana","Carthage, Ancient world","(39.7383781, -85.5719189)",
"Corinth, Mississippi","Ancient Corinth, Ancient world","(34.9343599, -88.5223353)",
"Damascus, Maryland","Damascus, Ancient world","(39.2884381, -77.2038717)",
"Delphi, Indiana","Delphi, Ancient world","(40.5875371, -86.6750059)",
